year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	exempt	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2016	12380	721	Air Force	02/06/2016	@ Navy		Navy	http://stats.ncaa.org/team/726/12380	false		false	L 6 - 10	false	6 - 10	false	6	10	false		4004130	http://stats.ncaa.org/game/index/4004130?org_id=726
2016	12380	721	Air Force	02/13/2016	Denver		Denver	http://stats.ncaa.org/team/183/12380	false		true	L 9 - 10	false	9 - 10	false	9	10	false		4011345	http://stats.ncaa.org/game/index/4011345?org_id=721
2016	12380	721	Air Force	02/20/2016	@ Marist		Marist	http://stats.ncaa.org/team/386/12380	false		false	W 7 - 6 (4OT)	true	7 - 6	false	7	6	true	4OT	4034439	http://stats.ncaa.org/game/index/4034439?org_id=386
2016	12380	721	Air Force	02/27/2016	Dartmouth @ Denver, Colo.		Dartmouth	http://stats.ncaa.org/team/172/12380	true	Denver, Colo.	true	W 9 - 3	true	9 - 3	false	9	3	false		4033369	http://stats.ncaa.org/game/index/4033369?org_id=172
2016	12380	721	Air Force	02/28/2016	Sacred Heart @ Denver, Colo.		Sacred Heart	http://stats.ncaa.org/team/590/12380	true	Denver, Colo.	true	W 13 - 10	true	13 - 10	false	13	10	false		4033373	http://stats.ncaa.org/game/index/4033373?org_id=721
2016	12380	721	Air Force	03/05/2016	@ Robert Morris		Robert Morris		false		false	-									
2016	12380	721	Air Force	03/12/2016	Furman		Furman		false		true	-									
2016	12380	721	Air Force	03/19/2016	High Point		High Point		false		true	-									
2016	12380	721	Air Force	03/22/2016	@ Duke		Duke		false		false	-									
2016	12380	721	Air Force	03/26/2016	@ Detroit		Detroit		false		false	-									
2016	12380	721	Air Force	04/02/2016	@ Bellarmine		Bellarmine		false		false	-									
2016	12380	721	Air Force	04/09/2016	Mercer		Mercer		false		true	-									
2016	12380	721	Air Force	04/16/2016	VMI		VMI		false		true	-									
2016	12380	721	Air Force	04/23/2016	@ Richmond		Richmond		false		false	-									
2016	12380	721	Air Force	04/30/2016	@ Jacksonville		Jacksonville		false		false	-									
2016	12380	14	Albany (NY)	02/21/2016	@ Syracuse		Syracuse	http://stats.ncaa.org/team/688/12380	false		false	L 7 - 16	false	7 - 16	false	7	16	false		4022567	http://stats.ncaa.org/game/index/4022567?org_id=688
2016	12380	14	Albany (NY)	02/27/2016	Drexel		Drexel	http://stats.ncaa.org/team/191/12380	false		true	W 20 - 14	true	20 - 14	false	20	14	false		4030380	http://stats.ncaa.org/game/index/4030380?org_id=14
2016	12380	14	Albany (NY)	03/05/2016	Cornell		Cornell	http://stats.ncaa.org/team/167/12380	false		true	W 12 - 8	true	12 - 8	false	12	8	false		4043026	http://stats.ncaa.org/game/index/4043026?org_id=14
2016	12380	14	Albany (NY)	03/08/2016	@ Massachusetts		Massachusetts		false		false	-									
2016	12380	14	Albany (NY)	03/16/2016	@ Maryland		Maryland		false		false	-									
2016	12380	14	Albany (NY)	03/19/2016	Stony Brook		Stony Brook		false		true	-									
2016	12380	14	Albany (NY)	03/26/2016	@ Hartford		Hartford		false		false	-									
2016	12380	14	Albany (NY)	03/30/2016	Harvard		Harvard		false		true	-									
2016	12380	14	Albany (NY)	04/02/2016	@ UMass Lowell		UMass Lowell		false		false	-									
2016	12380	14	Albany (NY)	04/09/2016	Vermont		Vermont		false		true	-									
2016	12380	14	Albany (NY)	04/16/2016	Binghamton		Binghamton		false		true	-									
2016	12380	14	Albany (NY)	04/23/2016	@ Yale		Yale		false		false	-									
2016	12380	14	Albany (NY)	04/26/2016	Siena		Siena		false		true	-									
2016	12380	14	Albany (NY)	04/30/2016	@ UMBC		UMBC		false		false	-									
2016	12380	725	Army West Point	02/12/2016	Massachusetts		Massachusetts	http://stats.ncaa.org/team/400/12380	false		true	W 9 - 5	true	9 - 5	false	9	5	false		4013838	http://stats.ncaa.org/game/index/4013838?org_id=725
2016	12380	725	Army West Point	02/20/2016	Rutgers		Rutgers	http://stats.ncaa.org/team/587/12380	false		true	L 11 - 13	false	11 - 13	false	11	13	false		4023392	http://stats.ncaa.org/game/index/4023392?org_id=725
2016	12380	725	Army West Point	02/21/2016	VMI		VMI	http://stats.ncaa.org/team/741/12380	false		true	W 22 - 3	true	22 - 3	false	22	3	false		4026827	http://stats.ncaa.org/game/index/4026827?org_id=725
2016	12380	725	Army West Point	02/28/2016	@ Syracuse		Syracuse	http://stats.ncaa.org/team/688/12380	false		false	L 8 - 9	false	8 - 9	false	8	9	false		4032593	http://stats.ncaa.org/game/index/4032593?org_id=688
2016	12380	725	Army West Point	03/05/2016	@ Lafayette		Lafayette	http://stats.ncaa.org/team/342/12380	false		false	W 14 - 5	true	14 - 5	false	14	5	false		4043858	http://stats.ncaa.org/game/index/4043858?org_id=342
2016	12380	725	Army West Point	03/12/2016	Lehigh		Lehigh		false		true	-									
2016	12380	725	Army West Point	03/13/2016	NJIT		NJIT		false		true	-									
2016	12380	725	Army West Point	03/19/2016	Holy Cross		Holy Cross		false		true	-									
2016	12380	725	Army West Point	03/26/2016	@ Colgate		Colgate		false		false	-									
2016	12380	725	Army West Point	04/02/2016	Bucknell		Bucknell		false		true	-									
2016	12380	725	Army West Point	04/09/2016	@ Boston U.		Boston U.		false		false	-									
2016	12380	725	Army West Point	04/16/2016	Navy		Navy		false		true	-									
2016	12380	725	Army West Point	04/22/2016	@ Loyola Maryland		Loyola Maryland		false		false	-									
2016	12380	725	Army West Point	05/08/2016	@ Notre Dame		Notre Dame		false		false	-									
2016	12380	52	Bellarmine	02/13/2016	Robert Morris		Robert Morris	http://stats.ncaa.org/team/579/12380	false		true	W 11 - 10	true	11 - 10	false	11	10	false		4013304	http://stats.ncaa.org/game/index/4013304?org_id=52
2016	12380	52	Bellarmine	02/20/2016	@ Marquette		Marquette	http://stats.ncaa.org/team/387/12380	false		false	L 7 - 9	false	7 - 9	false	7	9	false		4035542	http://stats.ncaa.org/game/index/4035542?org_id=387
2016	12380	52	Bellarmine	02/24/2016	@ Notre Dame		Notre Dame	http://stats.ncaa.org/team/513/12380	false		false	L 6 - 11	false	6 - 11	false	6	11	false		4030647	http://stats.ncaa.org/game/index/4030647?org_id=513
2016	12380	52	Bellarmine	02/27/2016	Quinnipiac		Quinnipiac	http://stats.ncaa.org/team/562/12380	false		true	L 6 - 12	false	6 - 12	false	6	12	false		4031267	http://stats.ncaa.org/game/index/4031267?org_id=52
2016	12380	52	Bellarmine	03/04/2016	Detroit @ Columbus, Ohio		Detroit	http://stats.ncaa.org/team/184/12380	true	Columbus, Ohio	true	W 7 - 6	true	7 - 6	false	7	6	false		4042066	http://stats.ncaa.org/game/index/4042066?org_id=184
2016	12380	52	Bellarmine	03/06/2016	@ Ohio St.		Ohio St.		false		false	-									
2016	12380	52	Bellarmine	03/12/2016	Mercer		Mercer		false		true	-									
2016	12380	52	Bellarmine	03/19/2016	@ Jacksonville		Jacksonville		false		false	-									
2016	12380	52	Bellarmine	03/26/2016	@ Providence		Providence		false		false	-									
2016	12380	52	Bellarmine	04/02/2016	Air Force		Air Force		false		true	-									
2016	12380	52	Bellarmine	04/09/2016	@ High Point		High Point		false		false	-									
2016	12380	52	Bellarmine	04/16/2016	@ Richmond		Richmond		false		false	-									
2016	12380	52	Bellarmine	04/23/2016	@ VMI		VMI		false		false	-									
2016	12380	52	Bellarmine	04/30/2016	Furman		Furman		false		true	-									
2016	12380	62	Binghamton	02/20/2016	@ Colgate		Colgate	http://stats.ncaa.org/team/153/12380	false		false	L 4 - 11	false	4 - 11	false	4	11	false		4020273	http://stats.ncaa.org/game/index/4020273?org_id=153
2016	12380	62	Binghamton	02/27/2016	@ Marist		Marist	http://stats.ncaa.org/team/386/12380	false		false	L 8 - 10	false	8 - 10	false	8	10	false		4034440	http://stats.ncaa.org/game/index/4034440?org_id=386
2016	12380	62	Binghamton	03/05/2016	@ Hobart and William Colleges		Hobart and William Colleges	http://stats.ncaa.org/team/282/12380	false		false	L 6 - 12	false	6 - 12	false	6	12	false		4043226	http://stats.ncaa.org/game/index/4043226?org_id=282
2016	12380	62	Binghamton	03/12/2016	Delaware		Delaware		false		true	-									
2016	12380	62	Binghamton	03/19/2016	UMBC		UMBC		false		true	-									
2016	12380	62	Binghamton	03/22/2016	Drexel		Drexel		false		true	-									
2016	12380	62	Binghamton	03/26/2016	@ Towson		Towson		false		false	-									
2016	12380	62	Binghamton	04/02/2016	@ Hartford		Hartford		false		false	-									
2016	12380	62	Binghamton	04/09/2016	UMass Lowell		UMass Lowell		false		true	-									
2016	12380	62	Binghamton	04/12/2016	Canisius		Canisius		false		true	-									
2016	12380	62	Binghamton	04/16/2016	@ Albany (NY)		Albany (NY)		false		false	-									
2016	12380	62	Binghamton	04/20/2016	@ Syracuse		Syracuse		false		false	-									
2016	12380	62	Binghamton	04/24/2016	Stony Brook		Stony Brook		false		true	-									
2016	12380	62	Binghamton	04/30/2016	@ Vermont		Vermont		false		false	-									
2016	12380	68	Boston U.	02/06/2016	Providence		Providence	http://stats.ncaa.org/team/556/12380	false		true	W 9 - 5	true	9 - 5	false	9	5	false		4021866	http://stats.ncaa.org/game/index/4021866?org_id=68
2016	12380	68	Boston U.	02/12/2016	UMass Lowell		UMass Lowell	http://stats.ncaa.org/team/368/12380	false		true	W 8 - 5	true	8 - 5	false	8	5	false		4010216	http://stats.ncaa.org/game/index/4010216?org_id=68
2016	12380	68	Boston U.	02/16/2016	@ High Point		High Point	http://stats.ncaa.org/team/19651/12380	false		false	W 13 - 10	true	13 - 10	false	13	10	false		4015799	http://stats.ncaa.org/game/index/4015799?org_id=19651
2016	12380	68	Boston U.	02/20/2016	Hartford		Hartford	http://stats.ncaa.org/team/272/12380	false		true	L 10 - 16	false	10 - 16	false	10	16	false		4028962	http://stats.ncaa.org/game/index/4028962?org_id=68
2016	12380	68	Boston U.	02/27/2016	Navy		Navy	http://stats.ncaa.org/team/726/12380	false		true	W 10 - 9 (2OT)	true	10 - 9	false	10	9	true	2OT	4034418	http://stats.ncaa.org/game/index/4034418?org_id=68
2016	12380	68	Boston U.	03/05/2016	@ Canisius		Canisius	http://stats.ncaa.org/team/116/12380	false		false	W 10 - 8	true	10 - 8	false	10	8	false		4043479	http://stats.ncaa.org/game/index/4043479?org_id=116
2016	12380	68	Boston U.	03/12/2016	Colgate		Colgate		false		true	-									
2016	12380	68	Boston U.	03/19/2016	@ Bucknell		Bucknell		false		false	-									
2016	12380	68	Boston U.	03/22/2016	@ Harvard		Harvard		false		false	-									
2016	12380	68	Boston U.	03/26/2016	@ Lafayette		Lafayette		false		false	-									
2016	12380	68	Boston U.	04/02/2016	Lehigh		Lehigh		false		true	-									
2016	12380	68	Boston U.	04/09/2016	Army West Point		Army West Point		false		true	-									
2016	12380	68	Boston U.	04/16/2016	@ Loyola Maryland		Loyola Maryland		false		false	-									
2016	12380	68	Boston U.	04/22/2016	@ Holy Cross		Holy Cross		false		false	-									
2016	12380	68	Boston U.	05/08/2016	Duke		Duke		false		true	-									
2016	12380	80	Brown	02/20/2016	@ Quinnipiac		Quinnipiac	http://stats.ncaa.org/team/562/12380	false		false	W 20 - 7	true	20 - 7	false	20	7	false		4023958	http://stats.ncaa.org/game/index/4023958?org_id=562
2016	12380	80	Brown	02/27/2016	@ Stony Brook		Stony Brook	http://stats.ncaa.org/team/683/12380	false		false	W 16 - 14	true	16 - 14	false	16	14	false		4032217	http://stats.ncaa.org/game/index/4032217?org_id=683
2016	12380	80	Brown	03/05/2016	Massachusetts		Massachusetts	http://stats.ncaa.org/team/400/12380	false		true	W 15 - 7	true	15 - 7	false	15	7	false		4042988	http://stats.ncaa.org/game/index/4042988?org_id=80
2016	12380	80	Brown	03/08/2016	@ Holy Cross		Holy Cross		false		false	-									
2016	12380	80	Brown	03/12/2016	Michigan		Michigan		false		true	-									
2016	12380	80	Brown	03/19/2016	@ Harvard		Harvard		false		false	-									
2016	12380	80	Brown	03/29/2016	@ Villanova		Villanova		false		false	-									
2016	12380	80	Brown	04/02/2016	Princeton		Princeton		false		true	-									
2016	12380	80	Brown	04/05/2016	Bryant		Bryant		false		true	-									
2016	12380	80	Brown	04/09/2016	@ Penn		Penn		false		false	-									
2016	12380	80	Brown	04/16/2016	Yale		Yale		false		true	-									
2016	12380	80	Brown	04/19/2016	Providence		Providence		false		true	-									
2016	12380	80	Brown	04/23/2016	@ Cornell		Cornell		false		false	-									
2016	12380	80	Brown	04/27/2016	Dartmouth		Dartmouth		false		true	-									
2016	12380	81	Bryant	02/06/2016	Manhattan		Manhattan	http://stats.ncaa.org/team/381/12380	false		true	W 16 - 3	true	16 - 3	false	16	3	false		4003276	http://stats.ncaa.org/game/index/4003276?org_id=81
2016	12380	81	Bryant	02/14/2016	Bucknell		Bucknell	http://stats.ncaa.org/team/83/12380	false		true	L 10 - 11	false	10 - 11	false	10	11	false		4011563	http://stats.ncaa.org/game/index/4011563?org_id=81
2016	12380	81	Bryant	02/20/2016	@ Providence		Providence	http://stats.ncaa.org/team/556/12380	false		false	W 12 - 10	true	12 - 10	false	12	10	false		4020240	http://stats.ncaa.org/game/index/4020240?org_id=556
2016	12380	81	Bryant	02/27/2016	@ Hartford		Hartford	http://stats.ncaa.org/team/272/12380	false		false	W 16 - 11	true	16 - 11	false	16	11	false		4032041	http://stats.ncaa.org/game/index/4032041?org_id=272
2016	12380	81	Bryant	03/05/2016	Yale		Yale	http://stats.ncaa.org/team/813/12380	false		true	L 4 - 14	false	4 - 14	false	4	14	false		4043795	http://stats.ncaa.org/game/index/4043795?org_id=81
2016	12380	81	Bryant	03/08/2016	Harvard		Harvard		false		true	-									
2016	12380	81	Bryant	03/12/2016	Drexel		Drexel		false		true	-									
2016	12380	81	Bryant	03/15/2016	@ Siena		Siena		false		false	-									
2016	12380	81	Bryant	03/19/2016	Mt. St. Mary's		Mt. St. Mary's		false		true	-									
2016	12380	81	Bryant	03/25/2016	@ Sacred Heart		Sacred Heart		false		false	-									
2016	12380	81	Bryant	04/02/2016	@ Robert Morris		Robert Morris		false		false	-									
2016	12380	81	Bryant	04/05/2016	@ Brown		Brown		false		false	-									
2016	12380	81	Bryant	04/09/2016	Wagner		Wagner		false		true	-									
2016	12380	81	Bryant	04/16/2016	@ Saint Joseph's		Saint Joseph's		false		false	-									
2016	12380	81	Bryant	04/23/2016	Hobart and William Colleges		Hobart and William Colleges		false		true	-									
2016	12380	83	Bucknell	02/06/2016	Delaware		Delaware	http://stats.ncaa.org/team/180/12380	false		true	W 13 - 5	true	13 - 5	false	13	5	false		4003824	http://stats.ncaa.org/game/index/4003824?org_id=83
2016	12380	83	Bucknell	02/14/2016	@ Bryant		Bryant	http://stats.ncaa.org/team/81/12380	false		false	W 11 - 10	true	11 - 10	false	11	10	false		4011563	http://stats.ncaa.org/game/index/4011563?org_id=81
2016	12380	83	Bucknell	02/20/2016	@ Fairfield		Fairfield	http://stats.ncaa.org/team/220/12380	false		false	W 13 - 8	true	13 - 8	false	13	8	false		4025498	http://stats.ncaa.org/game/index/4025498?org_id=220
2016	12380	83	Bucknell	02/27/2016	@ Colgate		Colgate	http://stats.ncaa.org/team/153/12380	false		false	L 10 - 11 (1OT)	false	10 - 11	false	10	11	true	1OT	4039901	http://stats.ncaa.org/game/index/4039901?org_id=153
2016	12380	83	Bucknell	03/05/2016	Navy		Navy	http://stats.ncaa.org/team/726/12380	false		true	L 6 - 13	false	6 - 13	false	6	13	false		4043326	http://stats.ncaa.org/game/index/4043326?org_id=83
2016	12380	83	Bucknell	03/12/2016	@ Holy Cross		Holy Cross		false		false	-									
2016	12380	83	Bucknell	03/15/2016	Villanova		Villanova		false		true	-									
2016	12380	83	Bucknell	03/19/2016	Boston U.		Boston U.		false		true	-									
2016	12380	83	Bucknell	03/26/2016	@ Loyola Maryland		Loyola Maryland		false		false	-									
2016	12380	83	Bucknell	04/02/2016	@ Army West Point		Army West Point		false		false	-									
2016	12380	83	Bucknell	04/08/2016	Mt. St. Mary's		Mt. St. Mary's		false		true	-									
2016	12380	83	Bucknell	04/15/2016	Lafayette		Lafayette		false		true	-									
2016	12380	83	Bucknell	04/22/2016	Lehigh		Lehigh		false		true	-									
2016	12380	116	Canisius	03/05/2016	Boston U.		Boston U.	http://stats.ncaa.org/team/68/12380	false		true	L 8 - 10	false	8 - 10	false	8	10	false		4043479	http://stats.ncaa.org/game/index/4043479?org_id=116
2016	12380	116	Canisius	03/08/2016	Vermont@Oshawa, CAN		VermontOshawa, CAN		false		false	-									
2016	12380	116	Canisius	03/15/2016	Hobart and William Colleges		Hobart and William Colleges		false		true	-									
2016	12380	116	Canisius	03/19/2016	@ Siena		Siena		false		false	-									
2016	12380	116	Canisius	03/26/2016	@ Marist		Marist		false		false	-									
2016	12380	116	Canisius	04/02/2016	Monmouth		Monmouth		false		true	-									
2016	12380	116	Canisius	04/09/2016	Manhattan		Manhattan		false		true	-									
2016	12380	116	Canisius	04/12/2016	@ Binghamton		Binghamton		false		false	-									
2016	12380	116	Canisius	04/16/2016	@ Quinnipiac		Quinnipiac		false		false	-									
2016	12380	116	Canisius	04/19/2016	Robert Morris		Robert Morris		false		true	-									
2016	12380	116	Canisius	04/23/2016	Detroit		Detroit		false		true	-									
2016	12380	153	Colgate	02/14/2016	@ Michigan		Michigan	http://stats.ncaa.org/team/418/12380	false		false	L 8 - 9	false	8 - 9	false	8	9	false		4013163	http://stats.ncaa.org/game/index/4013163?org_id=418
2016	12380	153	Colgate	02/20/2016	Binghamton		Binghamton	http://stats.ncaa.org/team/62/12380	false		true	W 11 - 4	true	11 - 4	false	11	4	false		4020273	http://stats.ncaa.org/game/index/4020273?org_id=153
2016	12380	153	Colgate	02/27/2016	Bucknell		Bucknell	http://stats.ncaa.org/team/83/12380	false		true	W 11 - 10 (1OT)	true	11 - 10	false	11	10	true	1OT	4039901	http://stats.ncaa.org/game/index/4039901?org_id=153
2016	12380	153	Colgate	03/05/2016	@ Lehigh		Lehigh	http://stats.ncaa.org/team/352/12380	false		false	L 9 - 12	false	9 - 12	false	9	12	false		4043401	http://stats.ncaa.org/game/index/4043401?org_id=352
2016	12380	153	Colgate	03/08/2016	@ Hobart and William Colleges		Hobart and William Colleges		false		false	-									
2016	12380	153	Colgate	03/12/2016	@ Boston U.		Boston U.		false		false	-									
2016	12380	153	Colgate	03/15/2016	Cornell		Cornell		false		true	-									
2016	12380	153	Colgate	03/19/2016	Fairfield		Fairfield		false		true	-									
2016	12380	153	Colgate	03/26/2016	Army West Point		Army West Point		false		true	-									
2016	12380	153	Colgate	04/03/2016	Loyola Maryland		Loyola Maryland		false		true	-									
2016	12380	153	Colgate	04/09/2016	@ Navy		Navy		false		false	-									
2016	12380	153	Colgate	04/16/2016	Holy Cross		Holy Cross		false		true	-									
2016	12380	153	Colgate	04/22/2016	@ Lafayette		Lafayette		false		false	-									
2016	12380	153	Colgate	05/07/2016	@ Syracuse		Syracuse		false		false	-									
2016	12380	167	Cornell	02/20/2016	Penn St.		Penn St.	http://stats.ncaa.org/team/539/12380	false		true	L 7 - 8	false	7 - 8	false	7	8	false		4021909	http://stats.ncaa.org/game/index/4021909?org_id=167
2016	12380	167	Cornell	02/27/2016	Hobart and William Colleges @ West Palm Beach, FL		Hobart and William Colleges	http://stats.ncaa.org/team/282/12380	true	West Palm Beach, FL	true	W 10 - 8	true	10 - 8	false	10	8	false		4035612	http://stats.ncaa.org/game/index/4035612?org_id=167
2016	12380	167	Cornell	03/05/2016	@ Albany (NY)		Albany (NY)	http://stats.ncaa.org/team/14/12380	false		false	L 8 - 12	false	8 - 12	false	8	12	false		4043026	http://stats.ncaa.org/game/index/4043026?org_id=14
2016	12380	167	Cornell	03/12/2016	Virginia		Virginia		false		true	-									
2016	12380	167	Cornell	03/15/2016	@ Colgate		Colgate		false		false	-									
2016	12380	167	Cornell	03/19/2016	Yale		Yale		false		true	-									
2016	12380	167	Cornell	03/26/2016	@ Penn		Penn		false		false	-									
2016	12380	167	Cornell	04/02/2016	@ Dartmouth		Dartmouth		false		false	-									
2016	12380	167	Cornell	04/09/2016	Harvard		Harvard		false		true	-									
2016	12380	167	Cornell	04/12/2016	Syracuse		Syracuse		false		true	-									
2016	12380	167	Cornell	04/16/2016	@ Lehigh		Lehigh		false		false	-									
2016	12380	167	Cornell	04/23/2016	Brown		Brown		false		true	-									
2016	12380	167	Cornell	04/30/2016	@ Princeton		Princeton		false		false	-									
2016	12380	172	Dartmouth	02/20/2016	@ Sacred Heart		Sacred Heart	http://stats.ncaa.org/team/590/12380	false		false	L 8 - 10	false	8 - 10	false	8	10	false		4021235	http://stats.ncaa.org/game/index/4021235?org_id=590
2016	12380	172	Dartmouth	02/27/2016	Air Force @ Denver, Colo.		Air Force	http://stats.ncaa.org/team/721/12380	true	Denver, Colo.	true	L 3 - 9	false	3 - 9	false	3	9	false		4033369	http://stats.ncaa.org/game/index/4033369?org_id=172
