game_id	section_id	team_id	team_name	team_url	period_scores
4003254	0		Point U.		[3, 4, 6, 5, 18]
4003254	1	2713	Oglethorpe	http://stats.ncaa.org/team/2713/12380	[4, 4, 2, 5, 15]
4003649	0	1124	Hendrix	http://stats.ncaa.org/team/1124/12380	[1, 3, 2, 1, 0, 7]
4003649	1	8746	Southwestern (TX)	http://stats.ncaa.org/team/8746/12380	[1, 0, 2, 4, 1, 8]
4008361	0	2713	Oglethorpe	http://stats.ncaa.org/team/2713/12380	[0, 1, 2, 3, 6]
4008361	1	1130	Huntingdon	http://stats.ncaa.org/team/1130/12380	[5, 1, 8, 5, 19]
4009116	0	622	Salisbury	http://stats.ncaa.org/team/622/12380	[5, 2, 2, 3, 12]
4009116	1	269	Hampden-Sydney	http://stats.ncaa.org/team/269/12380	[0, 3, 2, 2, 7]
4009377	0		Ottawa		[5, 8, 4, 1, 18]
4009377	1	1044	Dallas	http://stats.ncaa.org/team/1044/12380	[0, 1, 2, 1, 4]
4009396	0	426	Millsaps	http://stats.ncaa.org/team/426/12380	[1, 2, 4, 7, 14]
4009396	1	21830	Piedmont	http://stats.ncaa.org/team/21830/12380	[4, 4, 3, 2, 13]
4009791	0	1130	Huntingdon	http://stats.ncaa.org/team/1130/12380	[5, 3, 5, 4, 17]
4009791	1	1044	Dallas	http://stats.ncaa.org/team/1044/12380	[0, 0, 1, 1, 2]
4009829	0	1130	Huntingdon	http://stats.ncaa.org/team/1130/12380	[1, 2, 6, 2, 11]
4009829	1		Tenn. Wesleyan		[1, 2, 1, 4, 8]
4010838	0	1328	Rockhurst	http://stats.ncaa.org/team/1328/12380	[1, 2, 3, 0, 1, 7]
4010838	1	1124	Hendrix	http://stats.ncaa.org/team/1124/12380	[2, 0, 3, 1, 0, 6]
4011289	0	320	John Carroll	http://stats.ncaa.org/team/320/12380	[6, 3, 1, 1, 11]
4011289	1	42	Aurora	http://stats.ncaa.org/team/42/12380	[4, 4, 4, 5, 17]
4011576	0	13302	Lees-McRae	http://stats.ncaa.org/team/13302/12380	[1, 3, 0, 2, 6]
4011576	1	263	Greensboro	http://stats.ncaa.org/team/263/12380	[2, 1, 1, 4, 8]
4012487	0	154	Colorado Col.	http://stats.ncaa.org/team/154/12380	[4, 1, 4, 5, 14]
4012487	1	28593	Birmingham-So.	http://stats.ncaa.org/team/28593/12380	[0, 4, 2, 0, 6]
4012642	0	154	Colorado Col.	http://stats.ncaa.org/team/154/12380	[3, 3, 5, 3, 14]
4012642	1	973	Berry	http://stats.ncaa.org/team/973/12380	[2, 3, 0, 3, 8]
4012645	0	1050	Defiance	http://stats.ncaa.org/team/1050/12380	[0, 0, 0, 1, 1]
4012645	1	114	Calvin	http://stats.ncaa.org/team/114/12380	[9, 6, 9, 4, 28]
4012957	0	573	Rhodes	http://stats.ncaa.org/team/573/12380	[3, 2, 2, 4, 11]
4012957	1	8746	Southwestern (TX)	http://stats.ncaa.org/team/8746/12380	[0, 0, 0, 3, 3]
4012960	0	28593	Birmingham-So.	http://stats.ncaa.org/team/28593/12380	[3, 7, 3, 0, 13]
4012960	1	21830	Piedmont	http://stats.ncaa.org/team/21830/12380	[1, 1, 0, 4, 6]
4012962	0	286	Hope	http://stats.ncaa.org/team/286/12380	[4, 2, 4, 1, 11]
4012962	1	426	Millsaps	http://stats.ncaa.org/team/426/12380	[4, 2, 2, 4, 12]
4013016	0	573	Rhodes	http://stats.ncaa.org/team/573/12380	[6, 6, 4, 4, 20]
4013016	1	1044	Dallas	http://stats.ncaa.org/team/1044/12380	[2, 0, 0, 0, 2]
4013054	0	412	Methodist	http://stats.ncaa.org/team/412/12380	[0, 2, 4, 3, 9]
4013054	1	973	Berry	http://stats.ncaa.org/team/973/12380	[4, 7, 2, 4, 17]
4013097	0	1130	Huntingdon	http://stats.ncaa.org/team/1130/12380	[1, 2, 1, 3, 7]
4013097	1	8746	Southwestern (TX)	http://stats.ncaa.org/team/8746/12380	[1, 1, 1, 5, 8]
4013264	0	412	Methodist	http://stats.ncaa.org/team/412/12380	[5, 3, 8, 4, 20]
4013264	1	2713	Oglethorpe	http://stats.ncaa.org/team/2713/12380	[2, 3, 0, 1, 6]
4013274	0	10	Ala.-Huntsville	http://stats.ncaa.org/team/10/12380	[0, 0, 1, 1, 2]
4013274	1	652	Sewanee	http://stats.ncaa.org/team/652/12380	[5, 5, 5, 2, 17]
4014811	0	752	Wash. & Lee	http://stats.ncaa.org/team/752/12380	[3, 3, 1, 2, 0, 1, 10]
4014811	1	139	Chris. Newport	http://stats.ncaa.org/team/139/12380	[1, 1, 2, 5, 0, 0, 9]
4015286	0	637	Shenandoah	http://stats.ncaa.org/team/637/12380	[2, 2, 4, 2, 10]
4015286	1	225	Ferrum	http://stats.ncaa.org/team/225/12380	[1, 6, 0, 4, 11]
4015908	0	21830	Piedmont	http://stats.ncaa.org/team/21830/12380	[3, 2, 1, 2, 8]
4015908	1	2713	Oglethorpe	http://stats.ncaa.org/team/2713/12380	[1, 1, 1, 1, 4]
4015961	0	374	Lynchburg	http://stats.ncaa.org/team/374/12380	[5, 2, 4, 0, 11]
4015961	1	622	Salisbury	http://stats.ncaa.org/team/622/12380	[3, 2, 3, 6, 14]
4016822	0	269	Hampden-Sydney	http://stats.ncaa.org/team/269/12380	[5, 2, 5, 3, 15]
4016822	1	263	Greensboro	http://stats.ncaa.org/team/263/12380	[2, 1, 2, 3, 8]
4017518	0	394	Marymount (VA)	http://stats.ncaa.org/team/394/12380	[3, 1, 1, 3, 8]
4017518	1	124	Catholic	http://stats.ncaa.org/team/124/12380	[0, 5, 4, 4, 13]
4017519	0	1467	Goucher	http://stats.ncaa.org/team/1467/12380	[3, 2, 0, 1, 6]
4017519	1	411	Messiah	http://stats.ncaa.org/team/411/12380	[4, 1, 3, 3, 11]
4017520	0	390	Mary Washington	http://stats.ncaa.org/team/390/12380	[3, 1, 2, 8, 14]
4017520	1	565	Randolph-Macon	http://stats.ncaa.org/team/565/12380	[0, 2, 3, 1, 6]
4017596	0	1130	Huntingdon	http://stats.ncaa.org/team/1130/12380	[2, 2, 1, 2, 7]
4017596	1	426	Millsaps	http://stats.ncaa.org/team/426/12380	[1, 2, 2, 0, 5]
4017616	0	815	York (PA)	http://stats.ncaa.org/team/815/12380	[2, 3, 3, 1, 9]
