game_id	section_id	team_id	team_name	team_url	period_scores
4003276	0	381	Manhattan	http://stats.ncaa.org/team/381/12380	[0, 1, 0, 2, 3]
4003276	1	81	Bryant	http://stats.ncaa.org/team/81/12380	[7, 2, 3, 4, 16]
4003564	0	518	Ohio St.	http://stats.ncaa.org/team/518/12380	[1, 3, 1, 3, 8]
4003564	1	244	Furman	http://stats.ncaa.org/team/244/12380	[2, 0, 3, 2, 7]
4003824	0	180	Delaware	http://stats.ncaa.org/team/180/12380	[1, 1, 2, 1, 5]
4003824	1	83	Bucknell	http://stats.ncaa.org/team/83/12380	[4, 3, 4, 2, 13]
4003927	0	418	Michigan	http://stats.ncaa.org/team/418/12380	[3, 3, 0, 4, 10]
4003927	1	457	North Carolina	http://stats.ncaa.org/team/457/12380	[7, 3, 3, 7, 20]
4004129	0	579	Robert Morris	http://stats.ncaa.org/team/579/12380	[1, 1, 2, 3, 7]
4004129	1	539	Penn St.	http://stats.ncaa.org/team/539/12380	[6, 8, 5, 1, 20]
4004130	0	721	Air Force	http://stats.ncaa.org/team/721/12380	[2, 3, 0, 1, 6]
4004130	1	726	Navy	http://stats.ncaa.org/team/726/12380	[0, 2, 4, 4, 10]
4005145	0	471	NJIT	http://stats.ncaa.org/team/471/12380	[2, 0, 1, 1, 4]
4005145	1	352	Lehigh	http://stats.ncaa.org/team/352/12380	[8, 8, 4, 1, 21]
4005239	0	738	Vermont	http://stats.ncaa.org/team/738/12380	[4, 5, 4, 3, 16]
4005239	1	316	Jacksonville	http://stats.ncaa.org/team/316/12380	[3, 6, 3, 5, 17]
4006834	0	322	Johns Hopkins	http://stats.ncaa.org/team/322/12380	[4, 2, 1, 4, 0, 1, 12]
4006834	1	726	Navy	http://stats.ncaa.org/team/726/12380	[2, 2, 2, 5, 0, 0, 11]
4009689	0	450	Mt. St. Mary's	http://stats.ncaa.org/team/450/12380	[4, 1, 4, 5, 14]
4009689	1	180	Delaware	http://stats.ncaa.org/team/180/12380	[4, 3, 3, 1, 11]
4009724	0	406	Mercer	http://stats.ncaa.org/team/406/12380	[0, 1, 0, 1, 2]
4009724	1	711	Towson	http://stats.ncaa.org/team/711/12380	[4, 3, 2, 2, 11]
4009725	0	590	Sacred Heart	http://stats.ncaa.org/team/590/12380	[3, 3, 1, 5, 12]
4009725	1	342	Lafayette	http://stats.ncaa.org/team/342/12380	[2, 1, 2, 3, 8]
4010216	0	368	UMass Lowell	http://stats.ncaa.org/team/368/12380	[2, 2, 1, 0, 5]
4010216	1	68	Boston U.	http://stats.ncaa.org/team/68/12380	[0, 1, 3, 4, 8]
4011194	0	244	Furman	http://stats.ncaa.org/team/244/12380	[2, 1, 2, 1, 6]
4011194	1	457	North Carolina	http://stats.ncaa.org/team/457/12380	[6, 4, 3, 1, 14]
4011345	0	183	Denver	http://stats.ncaa.org/team/183/12380	[6, 2, 0, 2, 10]
4011345	1	721	Air Force	http://stats.ncaa.org/team/721/12380	[2, 2, 5, 0, 9]
4011430	0	639	Siena	http://stats.ncaa.org/team/639/12380	[0, 1, 1, 3, 5]
4011430	1	688	Syracuse	http://stats.ncaa.org/team/688/12380	[4, 6, 4, 4, 18]
4011563	0	83	Bucknell	http://stats.ncaa.org/team/83/12380	[4, 3, 3, 1, 11]
4011563	1	81	Bryant	http://stats.ncaa.org/team/81/12380	[1, 3, 1, 5, 10]
4011790	0	603	St. John's (NY)	http://stats.ncaa.org/team/603/12380	[4, 1, 2, 4, 11]
4011790	1	587	Rutgers	http://stats.ncaa.org/team/587/12380	[8, 4, 2, 5, 19]
4012919	0	381	Manhattan	http://stats.ncaa.org/team/381/12380	[0, 3, 3, 2, 8]
4012919	1	748	Wagner	http://stats.ncaa.org/team/748/12380	[4, 2, 6, 3, 15]
4013163	0	153	Colgate	http://stats.ncaa.org/team/153/12380	[1, 3, 2, 2, 8]
4013163	1	418	Michigan	http://stats.ncaa.org/team/418/12380	[4, 3, 1, 1, 9]
4013262	0	369	Loyola Maryland	http://stats.ncaa.org/team/369/12380	[4, 1, 4, 2, 11]
4013262	1	746	Virginia	http://stats.ncaa.org/team/746/12380	[0, 2, 2, 0, 4]
4013304	0	579	Robert Morris	http://stats.ncaa.org/team/579/12380	[0, 1, 3, 6, 10]
4013304	1	52	Bellarmine	http://stats.ncaa.org/team/52/12380	[5, 5, 0, 1, 11]
4013340	0	575	Richmond	http://stats.ncaa.org/team/575/12380	[3, 3, 3, 2, 11]
4013340	1	220	Fairfield	http://stats.ncaa.org/team/220/12380	[2, 1, 3, 4, 10]
4013838	0	400	Massachusetts	http://stats.ncaa.org/team/400/12380	[1, 1, 2, 1, 5]
4013838	1	725	Army West Point	http://stats.ncaa.org/team/725/12380	[2, 2, 1, 4, 9]
4014111	0	282	Hobart and William Colleges	http://stats.ncaa.org/team/282/12380	[4, 1, 5, 2, 12]
4014111	1	539	Penn St.	http://stats.ncaa.org/team/539/12380	[3, 4, 1, 9, 17]
4014121	0	19651	High Point	http://stats.ncaa.org/team/19651/12380	[2, 2, 0, 2, 6]
4014121	1	193	Duke	http://stats.ncaa.org/team/193/12380	[4, 3, 6, 4, 17]
4014704	0	352	Lehigh	http://stats.ncaa.org/team/352/12380	[1, 2, 3, 5, 11]
4014704	1	193	Duke	http://stats.ncaa.org/team/193/12380	[5, 4, 2, 2, 13]
4014985	0	590	Sacred Heart	http://stats.ncaa.org/team/590/12380	[1, 1, 2, 4, 8]
4014985	1	683	Stony Brook	http://stats.ncaa.org/team/683/12380	[5, 5, 4, 3, 17]
4015462	0	285	Holy Cross	http://stats.ncaa.org/team/285/12380	[1, 3, 1, 3, 8]
4015462	1	556	Providence	http://stats.ncaa.org/team/556/12380	[2, 3, 3, 4, 12]
4015799	0	68	Boston U.	http://stats.ncaa.org/team/68/12380	[6, 0, 5, 2, 13]
4015799	1	19651	High Point	http://stats.ncaa.org/team/19651/12380	[1, 3, 3, 3, 10]
4015862	0	439	Monmouth	http://stats.ncaa.org/team/439/12380	[3, 2, 3, 3, 11]
4015862	1	316	Jacksonville	http://stats.ncaa.org/team/316/12380	[1, 2, 1, 1, 5]
4017525	0	738	Vermont	http://stats.ncaa.org/team/738/12380	[3, 2, 6, 8, 19]
4017525	1	471	NJIT	http://stats.ncaa.org/team/471/12380	[2, 3, 0, 0, 5]
4019435	0	748	Wagner	http://stats.ncaa.org/team/748/12380	[1, 3, 2, 1, 7]
4019435	1	342	Lafayette	http://stats.ncaa.org/team/342/12380	[3, 2, 5, 2, 12]
4020103	0	575	Richmond	http://stats.ncaa.org/team/575/12380	[2, 2, 3, 0, 7]
4020103	1	391	UMBC	http://stats.ncaa.org/team/391/12380	[1, 2, 1, 1, 5]
4020240	0	81	Bryant	http://stats.ncaa.org/team/81/12380	[1, 5, 3, 3, 12]
4020240	1	556	Providence	http://stats.ncaa.org/team/556/12380	[5, 1, 3, 1, 10]
