game_id	section_id	player_id	player_name	player_url	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4003276	0	1761648	Darby, Conor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761648	A	1	""	1	3	1	""	""	3	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532878	Flannery, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532878	D	""	""	""	""	""	""	""	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532863	Garvey, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532863	M	1	""	1	4	2	""	""	""	5/	""	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753988	Giarrantana, Parker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753988	A	1	1	2	2	2	""	""	2	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1437452	Gitlitz, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1437452	D	""	""	""	""	""	""	""	4	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753991	Johnson, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753991	A	""	""	""	2	2	""	""	4	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532869	Merrill, Frank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532869	D	""	""	""	""	""	""	""	4	""	2	1	7	2/	90/	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753993	Ratchford, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753993	M	""	""	""	2	""	""	""	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1437451	Rogers, Jimmy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1437451	M	""	1	1	3	1	""	""	1	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1638642	Zingaro, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638642	GK	""	""	""	""	""	""	""	2	1	""	""	""	""	""	3,600/	16/	17	""	1/	""	""	""	""	""	""
4003276	0	1532860	Abiog, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532860	""	""	""	""	1	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753996	Baldi, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753996	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753987	DeMuro, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753987	""	""	""	""	""	""	""	""	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532862	Fowler, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532862	""	""	""	""	""	""	""	""	""	""	""	1	5	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1638639	Frankauski, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638639	""	""	""	""	""	""	""	""	""	""	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1761649	Gazzillo, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761649	""	""	""	""	2	2	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1638667	Karlis, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638667	""	""	""	""	""	""	""	""	""	""	""	1	4	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1638668	Mermelstein, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638668	""	""	""	""	""	""	""	""	""	""	1	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532865	Noto, Gian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532865	""	""	""	""	""	""	""	""	""	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1638644	Sammarro, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638644	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1753986	Sofroniou, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753986	""	""	""	""	1	""	""	""	5/	1	1	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0	1532859	Stutler, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0		TEAM		""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	0		Totals		""	3	2	5	21	10	""	""	33/	22/	9/	3	23	4/	210/	3,600/	16	17	""	""	""	""	""	18/	26/	0.692
4003276	1	1647372	Johnson, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647372	D	""	""	""	1	1	""	""	5	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647375	O'Donnell, Brady	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647375	A	2	2	4	2	2	""	""	3	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647382	Ziegler, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647382	A	4	2	6/	8	7	1/	""	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536219	South, Chas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536219	D	""	""	""	""	""	""	""	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1427055	Gantz, Collins	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1427055	M	""	""	""	7	1	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1303938	Waldt, Gunnar	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1303938	GK	""	""	""	""	""	""	""	1	""	""	""	""	""	""	3,322	2	7	1/	""	""	""	""	""	""	""
4003276	1	1536216	Mummau, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536216	D	""	""	""	""	""	""	""	""	""	""	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536218	Sharpe, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536218	M	4	2	6/	5	5	1/	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647373	Kennedy, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647373	M	1	""	1	2	2	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536211	James, Tucker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536211	A	2	2	4	9	3	""	""	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
